Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2016S001896    ,-1,Desconegut,-1,Desconegut,-1,CTRA HTA CERDANY                                  ,1,Dimecres,Dc,Laboral,2016,3,Març,9,15,Tarda,No és causa del  vianant,0,0,0,0,1,429369.52 ,4587865.5 ,2.15344,41.437411
2016S004886    ,-1,Desconegut,-1,Desconegut,-1,FOC / Jocs del 92                                 ,,Dimarts,Dm,Laboral,2016,6,Juny,21,18,Tarda,No és causa del  vianant,0,2,0,2,2,428989.33 ,4579247.93,2.149901,41.359762
2016S000252    ,-1,Desconegut,-1,Desconegut,-1,CTRA C-58 (RIPOLLE                                ,0,Dimarts,Dm,Laboral,2016,1,Gener,12,16,Tarda,No és causa del  vianant,0,2,0,2,4,431940.3  ,4590347.92,2.183929,41.459991
2016S000860    ,-1,Desconegut,-1,Desconegut,-1,NÚMERO 4 / F                                      ,,Dimecres,Dc,Laboral,2016,2,Febrer,3,9,Matí,No és causa del  vianant,0,1,0,1,2,426830.03 ,4576250.78,2.12445,41.332574
2016S001165    ,-1,Desconegut,-1,Desconegut,-1,RDA LITORAL(LLOBRE                                ,K129      ,Diumenge,Dg,Laboral,2016,2,Febrer,14,13,Matí,No és causa del  vianant,0,3,0,3,4,430583.49 ,4579502.49,2.168929,41.362194
2016S003833    ,-1,Desconegut,-1,Desconegut,-1,A / Número 3                                      ,Desconegut,Dijous,Dj,Laboral,2016,5,Maig,19,12,Matí,No és causa del  vianant,0,1,0,1,1,428020.43 ,4576283.26,2.138671,41.332974
2016S003848    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0293 0293,Dijous,Dj,Laboral,2016,5,Maig,19,16,Tarda,No és causa del  vianant,0,1,0,1,2,432113.76,4585394.94,2.186554,41.415388
2016S003418    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,346402,Trinxant,0014 0014,Dimecres,Dc,Laboral,2016,5,Maig,4,16,Tarda,No és causa del  vianant,0,1,0,1,2,432108.45,4585245.88,2.186511,41.414045
2016S007530    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,346402,Trinxant,0014 0014,Dimarts,Dm,Laboral,2016,10,Octubre,4,11,Matí,No és causa del  vianant,0,1,0,1,2,432108.45,4585245.88,2.186511,41.414045
2016S001928    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser,0236 0236,Dijous,Dj,Laboral,2016,3,Març,10,13,Matí,No és causa del  vianant,0,1,0,1,2,431862.29,4585610.32,2.183526,41.417312
2016S004672    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0337 0337,Dimecres,Dc,Laboral,2016,6,Juny,15,19,Tarda,Creuar per fora pas de vianants,0,2,0,2,1,431954.6,4585556.54,2.184633,41.416833
2016S007350    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0052 0054,Dimarts,Dm,Laboral,2016,9,Setembre,27,18,Tarda,No és causa del  vianant,0,1,0,1,1,431625.93,4585434.72,2.18071,41.415707
2016S000160    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0052 0054,Dijous,Dj,Laboral,2016,1,Gener,7,21,Tarda,No és causa del  vianant,0,1,0,1,2,431625.93,4585434.72,2.18071,41.415707
2016S002044    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0272 0274,Dilluns,Dl,Laboral,2016,3,Març,14,22,Nit,No és causa del  vianant,0,1,0,1,1,431315.37,4585145.28,2.177034,41.413077
2016S000845    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0274 0274,Dimarts,Dm,Laboral,2016,2,Febrer,2,19,Tarda,No és causa del  vianant,0,7,0,7,2,431549.59,4585199.49,2.179828,41.413584
2016S004060    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,90502,Còrsega,0634 0634,Divendres,Dv,Laboral,2016,5,Maig,27,7,Matí,No és causa del  vianant,0,1,0,1,2,431394.03,4584846.74,2.178013,41.410391
2016S005290    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0577 0577,Dimecres,Dc,Laboral,2016,7,Juliol,6,13,Matí,No és causa del  vianant,0,1,0,1,2,431916.67,4584638.84,2.184282,41.408562
2016S007411    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0518 0518,Dijous,Dj,Laboral,2016,9,Setembre,29,12,Matí,No és causa del  vianant,0,1,0,1,2,431675.33,4584558.04,2.181408,41.407821
2016S006466    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0518 0518,Dimarts,Dm,Laboral,2016,8,Agost,23,20,Tarda,No és causa del  vianant,0,2,0,2,2,431675.33,4584558.04,2.181408,41.407821
2016S006560    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0523 0525,Diumenge,Dg,Laboral,2016,8,Agost,28,11,Matí,No és causa del  vianant,0,2,0,2,2,431753.98,4584672.03,2.182328,41.408854
2016S008788    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0535B0535B,Dimarts,Dm,Laboral,2016,11,Novembre,15,22,Nit,No és causa del  vianant,0,1,0,1,2,431797.92,4584713.4,2.18285,41.409227
2016S000435    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0596 0596,Dimarts,Dm,Laboral,2016,1,Gener,19,7,Matí,Creuar per fora pas de vianants,0,1,0,1,1,431989.06,4584867.9,2.185129,41.410631
2016S003779    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0601 0601,Dimarts,Dm,Laboral,2016,5,Maig,17,14,Tarda,No és causa del  vianant,0,1,0,1,2,432026.67,4584748.4,2.185585,41.409562
2016S006083    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser,0098 0098,Dimecres,Dc,Laboral,2016,8,Agost,3,15,Tarda,Creuar per fora pas de vianants,0,1,0,1,1,431636.75,4585075.78,2.180883,41.412474
2016S007429    ,10,Sant Martí,65,el Clot,60400,Canonge Rodó,0001 0001,Divendres,Dv,Laboral,2016,9,Setembre,30,9,Matí,No és causa del  vianant,0,1,0,1,3,432192.33,4584745.52,2.187572,41.409549
2016S004637    ,10,Sant Martí,65,el Clot,60400,Canonge Rodó,0008 0008,Dimarts,Dm,Laboral,2016,6,Juny,14,19,Tarda,No és causa del  vianant,0,1,0,1,2,432251.06,4584795.68,2.188272,41.410004
2016S004738    ,10,Sant Martí,65,el Clot,169409,Corts Catalanes,0875 0875,Divendres,Dv,Laboral,2016,6,Juny,17,15,Tarda,No és causa del  vianant,0,1,0,1,2,432627.9,4584587.81,2.192793,41.408163
2016S009950    ,10,Sant Martí,65,el Clot,209900,Meridiana,0190 0192,Dissabte,Ds,Laboral,2016,12,Desembre,24,6,Matí,No és causa del  vianant,0,1,0,1,2,432163.69,4585132.63,2.187181,41.413032
2016S003354    ,10,Sant Martí,65,el Clot,209900,Meridiana,0208 0210,Dilluns,Dl,Laboral,2016,5,Maig,2,18,Tarda,Transitar a peu per la calçada,0,0,1,1,1,432167.52,4585320.81,2.187208,41.414726
2016S007525    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0619 0619,Dimarts,Dm,Laboral,2016,10,Octubre,4,11,Matí,No és causa del  vianant,0,1,0,1,2,432103.78,4584824.29,2.186498,41.410253
2016S009253    ,10,Sant Martí,65,el Clot,42306,Bilbao,0220X0220X,Dijous,Dj,Laboral,2016,12,Desembre,1,14,Tarda,No és causa del  vianant,0,1,0,1,2,432540.41,4584990.51,2.191708,41.411785
2016S008094    ,10,Sant Martí,72,Sant Martí de Provençals,60807,Cantàbria,0051X0051X,Dilluns,Dl,Laboral,2016,10,Octubre,24,16,Tarda,No és causa del  vianant,0,1,0,1,2,433132.05,4586063.96,2.198672,41.421499
2016S002555    ,10,Sant Martí,65,el Clot,89004,Consell de Cent,0606B0606B,Dilluns,Dl,Laboral,2016,4,Abril,4,17,Tarda,No és causa del  vianant,0,1,0,1,2,432023.59,4584333.67,2.185596,41.405824
2016S003714    ,10,Sant Martí,72,Sant Martí de Provençals,158504,Huelva,0065I0065I,Dissabte,Ds,Laboral,2016,5,Maig,14,17,Tarda,No és causa del  vianant,0,0,0,0,2,432901.52,4585663.11,2.195952,41.417877
2016S005688    ,10,Sant Martí,65,el Clot,105304,Dos de Maig,0208 0208,Dimarts,Dm,Laboral,2016,7,Juliol,19,20,Tarda,No és causa del  vianant,0,2,0,2,2,431862.24,4584351.74,2.183668,41.405972
2016S003838    ,10,Sant Martí,65,el Clot,105304,Dos de Maig,0208 0208,Dijous,Dj,Laboral,2016,5,Maig,19,12,Matí,No és causa del  vianant,0,1,0,1,2,431862.24,4584351.74,2.183668,41.405972
2016S000897    ,10,Sant Martí,65,el Clot,146902,Glòries Catalanes,0017X0017X,Dijous,Dj,Laboral,2016,2,Febrer,4,11,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,432069.63,4584155.03,2.186166,41.404225
2016S008513    ,10,Sant Martí,72,Sant Martí de Provençals,3406,Agricultura,0262 0262,Dimarts,Dm,Laboral,2016,11,Novembre,8,9,Matí,Desobeir el senyal del semàfor,0,0,0,0,1,433233.37,4585816.35,2.199907,41.419282
2016S007433    ,10,Sant Martí,65,el Clot,161101,Independència,0223 0225,Divendres,Dv,Laboral,2016,9,Setembre,30,11,Matí,No és causa del  vianant,0,1,0,1,2,432091.52,4584278.28,2.186416,41.405334
2016S003132    ,10,Sant Martí,65,el Clot,161101,Independència,0265B0265B,Dilluns,Dl,Laboral,2016,4,Abril,25,13,Matí,No és causa del  vianant,0,1,0,1,2,431934.23,4584429.58,2.184521,41.406681
2016S008198    ,10,Sant Martí,65,el Clot,18505,Aragó,0594 0594,Dijous,Dj,Laboral,2016,10,Octubre,27,16,Tarda,No és causa del  vianant,0,2,0,2,2,432188.79,4584671.88,2.187532,41.408882
2016S000154    ,10,Sant Martí,72,Sant Martí de Provençals,15201,Andrade,0132 0132,Divendres,Dv,Laboral,2016,1,Gener,8,7,Matí,No és causa del  vianant,0,1,0,1,2,433260.7,4585363.67,2.200281,41.415205
2016S000455    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda,0178 0178,Dimarts,Dm,Laboral,2016,1,Gener,19,20,Tarda,No és causa del  vianant,0,1,0,1,2,433011.99,4585093.22,2.197331,41.412752
2016S007557    ,10,Sant Martí,72,Sant Martí de Provençals,153205,Guipúscoa,0060 0060,Dimecres,Dc,Laboral,2016,10,Octubre,5,15,Tarda,No és causa del  vianant,0,1,0,1,2,432977.18,4585446.75,2.196885,41.415929
