Longitude,Latitude,Sample No,Cu,Zn,Pb
73.01,24.76,45H01/001/S/16,24,43,19
73.03,24.76,45H01/002/S/16,35,77,22
73.05,24.76,45H01/003/S/16,25,82,25
73.07,24.76,45H01/004/S/16,31,88,29
73.09,24.76,45H01/005/S/16,27,51,21
73.11,24.76,45H01/006/S/16,31,63,24
73.13,24.76,45H01/007/S/16,24,88,29
73.15,24.76,45H01/008/S/16,28,144,15
73.17,24.76,45H01/009/S/16,63,48,10
73.19,24.76,45H01/010/S/16,23,48,17
73.21,24.76,45H01/011/S/16,23,59,27
73.23,24.76,45H01/012/S/16,22,59,16
73.25,24.76,45H01/013/S/16,46,96,15
73.01,24.78,45H01/014/S/16,32,78,24
73.03,24.78,45H01/015/S/16,46,134,15
73.05,24.78,45H01/016/S/16,25,83,22
73.07,24.78,45H01/017/S/16,30,76,35
73.09,24.78,45H01/018/S/16,32,70,13
73.11,24.78,45H01/019/S/16,29,65,18
73.13,24.78,45H01/020/S/16,28,71,23
73.15,24.78,45H01/021/S/16,37,66,18
73.17,24.78,45H01/022/S/16,31,160,18
73.19,24.78,45H01/023/S/16,20,42,19
73.21,24.78,45H01/024/S/16,39,53,15
73.23,24.78,45H01/025/S/16,50,56,14
73.25,24.78,45H01/026/S/16,49,63,13
73.01,24.79,45H01/027/S/16,20,73,29
73.03,24.79,45H01/028/S/16,43,86,23
73.05,24.79,45H01/029/S/16,29,82,27
73.07,24.79,45H01/030/S/16,32,87,22
73.09,24.79,45H01/031/S/16,37,85,30
73.11,24.79,45H01/032/S/16,33,67,14
73.13,24.79,45H01/033/S/16,37,71,22
73.15,24.79,45H01/034/S/16,32,71,31
73.17,24.79,45H01/035/S/16,25,120,23
73.19,24.79,45H01/036/S/16,28,102,21
73.21,24.79,45H01/037/S/16,28,68,27
73.23,24.79,45H01/038/S/16,61,67,13
73.25,24.79,45H01/039/S/16,23,56,22
73.01,24.81,45H01/040/S/16,21,76,35
73.03,24.81,45H01/041/S/16,53,82,16
73.05,24.81,45H01/042/S/16,42,77,27
73.07,24.81,45H01/043/S/16,24,54,17
73.09,24.81,45H01/044/S/16,36,56,17
73.11,24.81,45H01/045/S/16,31,70,12
73.13,24.81,45H01/046/S/16,45,109,21
73.15,24.81,45H01/047/S/16,30,146,35
73.17,24.81,45H01/048/S/16,37,128,12
73.19,24.81,45H01/049/S/16,38,149,28
73.21,24.81,45H01/050/S/16,18,72,27
73.23,24.81,45H01/051/S/16,39,62,20
73.25,24.81,45H01/052/S/16,36,63,26
73.01,24.83,45H01/053/S/16,27,42,18
73.03,24.83,45H01/054/S/16,29,77,27
73.05,24.83,45H01/055/S/16,58,58,13
73.07,24.83,45H01/056/S/16,31,48,19
73.09,24.83,45H01/057/S/16,18,53,15
73.11,24.83,45H01/058/S/16,24,54,18
73.13,24.83,45H01/059/S/16,49,108,14
73.15,24.83,45H01/060/S/16,31,75,27
73.17,24.83,45H01/061/S/16,22,113,28
73.19,24.83,45H01/062/S/16,20,94,17
73.21,24.83,45H01/063/S/16,28,92,19
73.23,24.83,45H01/064/S/16,31,56,19
73.25,24.83,45H01/065/S/16,35,64,21
73.01,24.85,45H01/066/S/16,15,43,20
73.03,24.85,45H01/067/S/16,13,47,22
73.05,24.85,45H01/068/S/16,24,43,26
73.07,24.85,45H01/069/S/16,36,84,31
73.09,24.85,45H01/070/S/16,28,77,34
73.11,24.85,45H01/071/S/16,19,45,18
73.13,24.85,45H01/072/S/16,27,74,19
73.15,24.85,45H01/073/S/16,30,115,44
73.17,24.85,45H01/074/S/16,39,173,49
73.19,24.85,45H01/075/S/16,27,101,27
73.21,24.85,45H01/076/S/16,20,78,21
73.23,24.85,45H01/077/S/16,28,81,34
73.25,24.85,45H01/078/S/16,29,75,32
73.01,24.87,45H01/079/S/16,10,46,20
73.03,24.87,45H01/080/S/16,22,42,25
73.05,24.87,45H01/081/S/16,19,38,32
73.07,24.87,45H01/082/S/16,22,48,23
73.09,24.87,45H01/083/S/16,35,57,18
73.11,24.87,45H01/084/S/16,16,41,20
73.13,24.87,45H01/085/S/16,25,49,35
73.15,24.87,45H01/086/S/16,25,76,22
73.17,24.87,45H01/087/S/16,31,67,19
73.19,24.87,45H01/088/S/16,37,106,12
73.21,24.87,45H01/089/S/16,17,69,15
73.23,24.87,45H01/090/S/16,18,60,22
73.25,24.87,45H01/091/S/16,17,65,22
73.01,24.89,45H01/092/S/16,12,33,18
73.03,24.89,45H01/093/S/16,11,58,21
73.05,24.89,45H01/094/S/16,12,51,30
73.07,24.89,45H01/095/S/16,15,51,33
73.09,24.89,45H01/096/S/16,14,38,20
73.11,24.89,45H01/097/S/16,29,52,10
73.13,24.89,45H01/098/S/16,18,60,13
73.15,24.89,45H01/099/S/16,29,46,22
73.17,24.89,45H01/100/S/16,103,54,11
73.19,24.89,45H01/101/S/16,50,67,13
73.21,24.89,45H01/102/S/16,27,78,18
73.23,24.89,45H01/103/S/16,24,65,21
73.25,24.89,45H01/104/S/16,29,71,14
73.01,24.90,45H01/105/S/16,12,49,28
73.03,24.90,45H01/106/S/16,21,50,25
73.05,24.90,45H01/107/S/16,18,54,33
73.07,24.90,45H01/108/S/16,21,56,33
73.09,24.90,45H01/109/S/16,20,41,27
73.11,24.90,45H01/110/S/16,28,56,13
73.13,24.90,45H01/111/S/16,26,49,15
73.15,24.90,45H01/112/S/16,18,33,12
73.17,24.90,45H01/113/S/16,30,61,13
73.19,24.90,45H01/114/S/16,40,71,12
73.21,24.90,45H01/115/S/16,43,107,18
73.23,24.90,45H01/116/S/16,34,95,17
73.25,24.90,45H01/117/S/16,28,104,16
73.01,24.92,45H01/118/S/16,10,43,26
