agency_cd,site_no,datetime,disValue,qualCode
USGS,6730200,10/1/86,30,A
USGS,6730200,10/2/86,30,A
USGS,6730200,10/3/86,30,A
USGS,6730200,10/4/86,30,A
USGS,6730200,10/5/86,30,A
USGS,6730200,10/6/86,30,A
USGS,6730200,10/7/86,30,A
USGS,6730200,10/8/86,30,A
USGS,6730200,10/9/86,30,A
USGS,6730200,10/10/86,31,A
USGS,6730200,10/11/86,40,A
USGS,6730200,10/12/86,35,A
USGS,6730200,10/13/86,30,A
USGS,6730200,10/14/86,30,A
USGS,6730200,10/15/86,30,A
USGS,6730200,10/16/86,30,A
USGS,6730200,10/17/86,30,A
USGS,6730200,10/18/86,30,A
USGS,6730200,10/19/86,30,A
USGS,6730200,10/20/86,30,A
USGS,6730200,10/21/86,31,A
USGS,6730200,10/22/86,32,A
USGS,6730200,10/23/86,34,A
USGS,6730200,10/24/86,32,A
USGS,6730200,10/25/86,35,A
USGS,6730200,10/26/86,32,A
USGS,6730200,10/27/86,34,A
USGS,6730200,10/28/86,32,A
USGS,6730200,10/29/86,32,A
USGS,6730200,10/30/86,31,A
USGS,6730200,10/31/86,37,A
USGS,6730200,11/1/86,48,A
USGS,6730200,11/2/86,46,A
USGS,6730200,11/3/86,43,A
USGS,6730200,11/4/86,44,A
USGS,6730200,11/5/86,49,A
USGS,6730200,11/6/86,52,A
USGS,6730200,11/7/86,56,A
USGS,6730200,11/8/86,60,A
USGS,6730200,11/9/86,57,A
USGS,6730200,11/10/86,53,A
USGS,6730200,11/11/86,50,A
USGS,6730200,11/12/86,50,A
USGS,6730200,11/13/86,50,A
USGS,6730200,11/14/86,50,A
USGS,6730200,11/15/86,50,A
USGS,6730200,11/16/86,50,A
USGS,6730200,11/17/86,50,A
USGS,6730200,11/18/86,50,A
USGS,6730200,11/19/86,50,A
USGS,6730200,11/20/86,50,A
USGS,6730200,11/21/86,52,A
USGS,6730200,11/22/86,56,A
USGS,6730200,11/23/86,53,A
USGS,6730200,11/24/86,52,A
USGS,6730200,11/25/86,55,A
USGS,6730200,11/26/86,54,A
USGS,6730200,11/27/86,48,A
USGS,6730200,11/28/86,55,A
USGS,6730200,11/29/86,59,A
USGS,6730200,11/30/86,64,A
USGS,6730200,12/1/86,62,A
USGS,6730200,12/2/86,63,A
USGS,6730200,12/3/86,60,A
USGS,6730200,12/4/86,62,A
USGS,6730200,12/5/86,57,A
USGS,6730200,12/6/86,64,A
USGS,6730200,12/7/86,74,A
USGS,6730200,12/8/86,66,A
USGS,6730200,12/9/86,69,A
USGS,6730200,12/10/86,74,A
USGS,6730200,12/11/86,77,A
USGS,6730200,12/12/86,73,A
USGS,6730200,12/13/86,65,A
USGS,6730200,12/14/86,73,A
USGS,6730200,12/15/86,72,A
USGS,6730200,12/16/86,69,A
