# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-10-06 16:01:15 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06730200 BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06730200
#            TS   parameter     statistic     Description
#         17663       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	17663_00060_00003	17663_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06730200	1986-10-01	30	A
USGS	06730200	1986-10-02	30	A
USGS	06730200	1986-10-03	30	A
USGS	06730200	1986-10-04	30	A
USGS	06730200	1986-10-05	30	A
USGS	06730200	1986-10-06	30	A
USGS	06730200	1986-10-07	30	A
USGS	06730200	1986-10-08	30	A
USGS	06730200	1986-10-09	30	A
USGS	06730200	1986-10-10	31	A
USGS	06730200	1986-10-11	40	A
USGS	06730200	1986-10-12	35	A
USGS	06730200	1986-10-13	30	A
USGS	06730200	1986-10-14	30	A
USGS	06730200	1986-10-15	30	A
USGS	06730200	1986-10-16	30	A
USGS	06730200	1986-10-17	30	A
USGS	06730200	1986-10-18	30	A
USGS	06730200	1986-10-19	30	A
USGS	06730200	1986-10-20	30	A
USGS	06730200	1986-10-21	31	A
USGS	06730200	1986-10-22	32	A
USGS	06730200	1986-10-23	34	A
USGS	06730200	1986-10-24	32	A
USGS	06730200	1986-10-25	35	A
USGS	06730200	1986-10-26	32	A
USGS	06730200	1986-10-27	34	A
USGS	06730200	1986-10-28	32	A
USGS	06730200	1986-10-29	32	A
USGS	06730200	1986-10-30	31	A
USGS	06730200	1986-10-31	37	A
USGS	06730200	1986-11-01	48	A
USGS	06730200	1986-11-02	46	A
USGS	06730200	1986-11-03	43	A
USGS	06730200	1986-11-04	44	A
USGS	06730200	1986-11-05	49	A
USGS	06730200	1986-11-06	52	A
USGS	06730200	1986-11-07	56	A
USGS	06730200	1986-11-08	60	A
USGS	06730200	1986-11-09	57	A
USGS	06730200	1986-11-10	53	A
USGS	06730200	1986-11-11	50	A
USGS	06730200	1986-11-12	50	A
USGS	06730200	1986-11-13	50	A
USGS	06730200	1986-11-14	50	A
USGS	06730200	1986-11-15	50	A
USGS	06730200	1986-11-16	50	A
USGS	06730200	1986-11-17	50	A
USGS	06730200	1986-11-18	50	A
USGS	06730200	1986-11-19	50	A
USGS	06730200	1986-11-20	50	A
USGS	06730200	1986-11-21	52	A
USGS	06730200	1986-11-22	56	A
USGS	06730200	1986-11-23	53	A
USGS	06730200	1986-11-24	52	A
USGS	06730200	1986-11-25	55	A
USGS	06730200	1986-11-26	54	A
