STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480801 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480802 15:00,0.05, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480803 09:00,0.01, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480803 14:00,0.03, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480803 15:00,0.03, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 01:00,0.05, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 02:00,0.02, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 04:00,0.01, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 05:00,0.01, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 14:00,0.01, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 15:00,0.02, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480804 16:00,0.02, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480805 18:00,0.02, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480814 15:00,0.02, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480814 16:00,0.01, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480819 15:00,0.02, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480819 16:00,0.01, , 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480821 13:00,999.99,a, 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480828 18:00,0.02,A, 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480901 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,unknown,unknown,unknown,19480907 02:00,0.02, , 
