day,date,time,operator,branch,driver,temperature,bill,pizzas,free_wine,got_wine,discount_customer
Thursday,01-May-14,35.12836705,Laura,East,Bruno,68.2877161,58.4,4,0,0,1
Thursday,01-May-14,25.20307368,Melissa,East,Salvatore,70.99779078,26.4,2,0,0,0
Thursday,01-May-14,45.64340414,Melissa,West,Salvatore,53.39414515,58.1,3,1,0,0
Thursday,01-May-14,29.3742975,Melissa,East,Salvatore,70.30659627,35.2,3,0,0,0
Thursday,01-May-14,29.9946103,Melissa,West,Salvatore,71.50168775,38.4,2,0,0,0
Thursday,01-May-14,40.25432119,Melissa,Centre,Bruno,60.7595043,61.8,4,1,1,0
Thursday,01-May-14,48.72860983,Laura,West,Bruno,58.25869678,57.9,3,1,1,0
Thursday,01-May-14,34.02772224,Melissa,West,Mario,68.127927,35.8,2,0,0,0
Thursday,01-May-14,28.20942882,Laura,Centre,Mario,64.94660654,36.6,2,0,0,0
Thursday,01-May-14,37.95479246,Melissa,Centre,Bruno,60.00737905,44.8,5,0,0,0
Thursday,01-May-14,42.07956336,Melissa,Centre,Bruno,65.53871672,49.5,4,1,0,0
Thursday,01-May-14,24.8079371,Laura,East,Mario,62.78966823,49.7,3,0,0,0
Thursday,01-May-14,28.3202182,Melissa,West,Mario,69.88133117,41.1,1,0,0,0
Thursday,01-May-14,25.45197666,Melissa,Centre,Salvatore,74.86141416,42.9,1,0,0,0
Thursday,01-May-14,23.78428051,Laura,West,Bruno,64.62645622,25.9,1,0,0,0
Thursday,01-May-14,40.71920797,Melissa,West,Salvatore,71.2169528,41.5,6,1,1,0
Thursday,01-May-14,26.13680395,Melissa,Centre,Mario,59.66240621,34.9,3,0,0,0
Thursday,01-May-14,41.77403348,Melissa,East,Bruno,65.92436974,42.4,4,1,1,1
Thursday,01-May-14,25.15866869,Laura,East,Mario,75.12394691,27.3,1,0,0,0
Thursday,01-May-14,36.73024497,Melissa,Centre,Bruno,65.80071131,47.7,4,0,0,1
Thursday,01-May-14,47.78338109,Melissa,Centre,Mario,66.10352682,63.7,2,1,1,1
Thursday,01-May-14,35.19658143,Laura,East,Salvatore,66.17844887,31.3,3,0,0,0
Thursday,01-May-14,30.64514292,Melissa,West,Bruno,66.54460279,62.7,4,0,0,1
Thursday,01-May-14,25.011874,Melissa,East,Salvatore,62.48673985,37.7,1,0,0,0
Thursday,01-May-14,44.28090194,Melissa,Centre,Bruno,60.66103032,47.5,3,1,1,0
Thursday,01-May-14,37.98576071,Melissa,Centre,Bruno,49.30972228,61.3,6,0,0,0
Thursday,01-May-14,26.35592633,Laura,Centre,Salvatore,68.2157424,48.9,5,0,0,0
Thursday,01-May-14,31.66187045,Melissa,West,Salvatore,63.41107827,27,2,0,0,0
Thursday,01-May-14,31.52627988,Melissa,West,Mario,70.26729044,45.5,3,0,0,0
Thursday,01-May-14,40.89840737,Melissa,West,Salvatore,63.38302467,49.6,6,1,1,0
Thursday,01-May-14,32.76256486,Laura,West,Mario,64.18772587,52.9,1,0,0,0
Thursday,01-May-14,27.61661739,Laura,East,Salvatore,55.33521271,24.7,1,0,0,1
Thursday,01-May-14,37.52441972,Melissa,West,Bruno,62.75530931,36.9,2,0,0,0
Thursday,01-May-14,33.27723971,Laura,West,Salvatore,67.65973631,37.6,2,0,0,0
Thursday,01-May-14,18.63962344,Laura,East,Bruno,87.58242206,19.5,1,0,0,0
Thursday,01-May-14,32.94450818,Melissa,East,Mario,50.41912956,41.3,3,0,0,0
Thursday,01-May-14,29.2574891,Laura,East,Bruno,55.39851821,35.3,3,0,0,0
Thursday,01-May-14,44.98236823,Laura,Centre,Mario,66.21841365,56.9,4,1,1,1
Thursday,01-May-14,38.95568874,Laura,West,Bruno,69.90594906,32.3,4,0,0,0
Thursday,01-May-14,39.40220284,Melissa,West,Salvatore,54.23551512,48.6,3,0,0,0
Thursday,01-May-14,19.30446178,Melissa,East,Salvatore,77.99985745,19.1,1,0,0,1
