"","Age","Sex","Income","Culture","Theatre","Theatre_ly"
"1",31,1,90.5,181,104,150
"2",54,0,73,234,116,140
"3",56,1,74.3,289,276,125
"4",36,1,73.6,185,75,130
"5",24,1,109,191,172,140
"6",25,0,93.1,273,168,130
"7",61,1,63.9,184,119,195
"8",50,0,46.1,155,97,110
"9",53,1,75,253,152,155
"10",52,0,68.7,291,166,150
"11",51,0,92,262,68,240
"12",26,0,72,172,44,120
"13",34,0,57.4,210,50,140
"14",59,0,80,194,95,120
"15",63,1,68.1,180,76,140
"16",19,0,64.6,215,88,110
"17",50,1,87.7,230,109,140
"18",45,1,70.2,172,103,140
"19",57,0,61,294,120,165
"20",38,0,59.3,187,177,150
"21",24,0,85.2,213,127,140
"22",48,1,70,273,205,145
"23",64,1,73,285,170,140
"24",27,1,84,227,195,140
"25",60,0,67.3,220,168,130
"26",49,0,63.7,150,84,130
"27",42,1,70.3,255,92,120
"28",47,0,55,374,150,120
"29",48,0,72.9,191,99,105
"30",53,1,109,151,158,165
"31",51,1,110.5,177,216,190
"32",61,1,78.3,182,169,130
"33",45,1,76,172,104,150
"34",43,0,63,189,107,150
"35",45,1,72.7,217,126,140
"36",43,0,80,189,99,170
"37",51,1,78,227,79,120
"38",41,1,82,238,135,150
"39",38,1,84,231,195,145
"40",55,0,67.3,224,60,115
"41",49,1,110,231,95,150
"42",29,1,75,245,229,160
"43",59,0,64,289,188,150
"44",63,1,70.5,236,60,145
"45",31,1,61,214,92,140
"46",58,1,80,351,185,190
"47",64,1,103,274,426,200
"48",49,1,75.9,232,125,140
"49",55,0,56.5,204,93,200
"50",23,1,77,229,125,125
"51",61,0,43.9,238,89,130
"52",56,1,65.4,381,250,150
"53",56,1,70,241,68,120
"54",63,1,84.1,210,93,130
"55",29,1,84.3,284,193,130
"56",55,1,80.2,171,163,200
"57",63,0,76,292,304,140
"58",54,1,91,199,178,130
"59",24,0,52,176,103,120
"60",63,1,87.4,287,163,95
"61",29,1,67,225,101,130
"62",20,0,44,305,76,95
"63",25,0,58,166,57,130
"64",29,0,61,177,104,110
"65",59,1,90.7,239,285,150
"66",54,0,60.1,306,167,130
"67",45,1,78,192,64,120
"68",41,1,81.3,201,49,160
"69",63,1,101.3,150,208,155
"70",53,1,79,317,282,140
"71",29,1,82,143,93,150
"72",49,0,73,209,99,150
"73",26,1,64,142,79,115
"74",25,0,54,161,37,125
"75",40,1,62.2,157,186,120
"76",26,1,75.1,154,170,120
"77",29,1,75.3,178,87,120
"78",47,0,69,306,158,110
"79",63,1,86,189,130,180
"80",57,0,52.7,252,255,120
"81",57,0,53,307,235,130
"82",57,0,65.3,220,70,150
"83",30,1,71,182,164,130
"84",51,1,71.5,280,133,200
"85",63,1,63.5,293,238,160
"86",51,0,70.6,292,108,130
"87",51,0,50.8,284,79,150
"88",64,1,75,200,194,110
"89",25,1,71.4,184,243,120
"90",32,1,69.1,142,154,110
"91",24,1,73,148,92,120
"92",50,0,107.5,220,125,145
"93",47,1,56,172,110,140
"94",27,0,65,190,107,140
"95",40,0,80,291,163,200
"96",20,1,77,217,164,150
"97",28,1,69.9,262,211,150
"98",50,0,108,250,125,150
"99",21,1,62.2,166,66,125
